,name,location,rent,deposit,area,type,highlights,description,owner
215,Magnum Lifestyle,Dhanori,24000.0,60000.0,950.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in dhanori close to all basic civic amenities is available for just 24,000 in magnum lifestyle, pune. This property offers access to nearby landmarks and is close to market, close to airport and close to mall. This flat consists of 2 bathrooms & 2 balconies in 925 sq.Ft. Super built-Up area. The flat is built on 950 sq.Ft. Area. This property has pooja room as well. Ease o...",A1 Realties 
216,Ace Aurum,Ravet,18000.0,50000.0,718.0,2 BHK ,"['2 Baths', 'East Facing']","Find this 2 bhk apartment for rent in ravet, pune. This 2 bhk apartment in ace aurum is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 718 sq.Ft. Carpet usable area. Flat is constructed on 718 sq.Ft. You get an additional space of pooja room. 1 open parking available. Placed on 2nd of 9 floor in 0-1 year old tower. This is a semi-Furnished flat. Furnishing options provided - 1 ...",Xfactor Realty 
217,Gera World of Joy,Kharadi,47000.0,141000.0,1200.0,2 BHK ,"['2 Baths', 'East Facing']",Beautiful 2bhk fully furnished row house is available for rent in gera's world of joy. Possession is immediately available. Available for both family and bachelors. Society is very well maintained and has all modern amenities present in it. For more details kindly contact to our otis realty team.,Otis Realty
218,Royal Velstand Phase 2,Kharadi,42000.0,126000.0,1340.0,3 BHK ,"['3 Baths', 'East Facing']","Beautiful brand new 2.5bhk flat is available for rent in royal vel stand. It has modular kitchen and basic fittings available in it. It is located on the higher floor. It has a good connectivity as market, it parks, schools and hospitals are nearby. Possession is immediately available. Flat is available for both bachelors and family. For more details kindly contact to our otis realty team.",Otis Realty
219,Pride Manhattan,Lohegaon,26000.0,78000.0,726.0,2 BHK ,"['2 Baths', 'East Facing']",2bhk full furnished flat available with all modern amenities and good connectivity.,HomeCraft Real estate & Interior Design 
220,Satyam Rajyog,Dhanori,22000.0,60000.0,1200.0,3 BHK ,"['2 Baths', 'East Facing']","3bhk flat for rent in dhanori society name satyam rajyoga good society nearby all market 2 km
Airport 4km commerone it park business bay
Finex market city airomol ion it park",Star properties  
221,ganesh residency,WadgaonSheri,24000.0,48000.0,780.0,2 BHK ,"['2 Baths', 'Gated Society']","Ganesh residency is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in wadgaon sheri, is your opportunity to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 780 sq.Ft. Carpet usable area. Flat is constructed on 780 sq.Ft. You get an additional space of others. 1 covered parking available. Placed on 3rd of 6 floor in 1-5 y...",FORTUNE REALTY SOLUTIONS
222,Rama Erande Park,WadgaonSheri,30000.0,60000.0,1191.0,2 BHK ,"['2 Baths', 'East Facing']","Find this 2 bhk apartment for rent in wadgaon sheri, pune. This 2 bhk apartment in rama erande park is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 780 sq.Ft. Carpet usable area. The flat consists of 2 bedrooms, built on 1191 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a total of 7 floors an...",FORTUNE REALTY SOLUTIONS
223,Sai Sundaram,Kharadi,30000.0,60000.0,641.0,2 BHK ,"['2 Baths', 'Full Power Backup']",Pune's most popular society sai sundaram in kharadi offers 2 bhk apartment. This 2 bhk flat comes with 2 bathrooms set in 60 sq.M. Carpet usable area. This property is constructed on 60 sq.M. Extra space for others. You also get 1 covered parking inside the premises located on 2nd of 5 floor. This is a ready to move property and it is 5-10 years old flat. This is a furnished flat. Already insta...,FORTUNE REALTY SOLUTIONS
224,Swojas Crystal Bay,KalyaniNagar,70000.0,210000.0,1900.0,3 BHK ,"['3 Baths', 'East Facing']","This lovely 3 bhk apartment for rent in kalyani nagar is available in one of pune's most popular projects, swojas crystal bay. This flat consists of 3 bathrooms & 1 balcony build in 1900 sq.Ft. Super built-Up area. Flat is constructed on 1900 sq.Ft. 1 covered parking available. Placed on 2nd of 5 floor in 10+ years old tower. This is a furnished flat. Furnishing options provided - 5 light, 3 fa...",HS Realtors 
